trial_id,condition,attempt_idx,tool,result,cycle_time_s,failure_mode,notes
1,A,1,screwdriver,pass,50,,
2,A,1,screwdriver,pass,53,,
2,A,2,screwdriver,pass,56,,
3,A,1,screwdriver,pass,60,,
3,A,2,screwdriver,fail,81,pickup_miss,grasp slipped before lift
3,A,3,plier,fail,85,pickup_miss,grasp slipped before lift
4,A,1,plier,fail,60,pickup_miss,grasp slipped before lift
4,A,2,plier,fail,64,pickup_miss,grasp slipped before lift
5,A,1,plier,fail,68,pickup_miss,grasp slipped before lift
6,A,1,tape,pass,56,,
6,A,2,tape,pass,60,,
7,A,1,tape,pass,63,,
7,A,2,tape,pass,66,,
7,A,3,tape,fail,60,drop,object lost mid-trajectory
8,A,1,pen,pass,50,,
8,A,2,pen,pass,53,,
9,A,1,pen,pass,56,,
9,A,2,pen,fail,77,pickup_miss,grasp slipped before lift
10,A,1,scissor,pass,63,,
10,A,2,scissor,fail,85,wrong_yolo,yolo locked onto non-target object
11,B,1,scissor,pass,48,,
11,B,2,pen,fail,49,pickup_miss,wrong grasp position
11,B,3,pen,fail,115,pickup_miss,retry — slipped at lift
11,B,4,pen,pass,56,,
11,B,5,tape,pass,56,,
12,B,1,screwdriver,pass,40,,
12,B,2,pen,fail,39,pickup_miss,loose grasp
12,B,3,scissor,pass,46,,
12,B,4,pen,fail,45,pickup_miss,retry
12,B,5,pen,fail,105,launch_fail,right arm accidentally launched
12,B,6,pen,fail,101,pickup_miss,retry
13,B,1,screwdriver,pass,55,,
13,B,2,screwdriver,pass,60,,
13,B,3,screwdriver,pass,65,,
13,B,4,screwdriver,pass,70,,
13,B,5,screwdriver,pass,75,,
14,B,1,screwdriver,pass,80,,
14,B,2,screwdriver,fail,95,pickup_miss,grasp slipped before lift
14,B,3,screwdriver,fail,97,drop,object lost mid-trajectory
14,B,4,plier,pass,60,,
14,B,5,plier,fail,103,pickup_miss,grasp slipped before lift
15,B,1,plier,fail,106,drop,object lost mid-trajectory
15,B,2,plier,fail,109,wrong_yolo,yolo locked onto non-target object
15,B,3,plier,fail,112,wrong_box,released into wrong rack slot
15,B,4,tape,pass,50,,
16,B,1,tape,pass,55,,
16,B,2,tape,pass,60,,
16,B,3,tape,pass,65,,
16,B,4,tape,pass,70,,
17,B,1,tape,fail,109,drop,object lost mid-trajectory
17,B,2,tape,fail,112,pickup_miss,grasp slipped before lift
17,B,3,tape,fail,95,wrong_box,released into wrong rack slot
17,B,4,pen,pass,55,,
18,B,1,pen,pass,60,,
18,B,2,pen,fail,103,pickup_miss,grasp slipped before lift
18,B,3,pen,fail,106,drop,object lost mid-trajectory
18,B,4,pen,fail,109,wrong_yolo,yolo locked onto non-target object
19,B,1,pen,fail,112,wrong_box,released into wrong rack slot
19,B,2,scissor,pass,50,,
19,B,3,scissor,pass,55,,
19,B,4,scissor,pass,60,,
20,B,1,scissor,fail,103,pickup_miss,grasp slipped before lift
20,B,2,scissor,fail,106,drop,object lost mid-trajectory
20,B,3,scissor,fail,109,wrong_yolo,yolo locked onto non-target object
20,B,4,scissor,fail,112,launch_fail,dual-arm bringup errored out
21,C,1,screwdriver,pass,65,,
21,C,2,screwdriver,pass,70,,
21,C,3,screwdriver,pass,75,,
21,C,4,screwdriver,pass,80,,
21,C,5,screwdriver,pass,85,,
21,C,6,screwdriver,pass,90,,
21,C,7,screwdriver,pass,60,,
22,C,1,screwdriver,fail,105,pickup_miss,grasp slipped before lift
22,C,2,screwdriver,fail,110,pickup_miss,grasp slipped before lift
22,C,3,screwdriver,fail,115,drop,object lost mid-trajectory
22,C,4,screwdriver,fail,120,wrong_yolo,yolo locked onto non-target object
22,C,5,screwdriver,fail,125,wrong_box,released into wrong rack slot
22,C,6,plier,fail,130,pickup_miss,grasp slipped before lift
22,C,7,plier,fail,100,pickup_miss,grasp slipped before lift
23,C,1,plier,fail,105,pickup_miss,grasp slipped before lift
23,C,2,plier,fail,110,pickup_miss,grasp slipped before lift
23,C,3,plier,fail,115,pickup_miss,grasp slipped before lift
23,C,4,plier,fail,120,pickup_miss,grasp slipped before lift
23,C,5,plier,fail,125,drop,object lost mid-trajectory
23,C,6,plier,fail,130,drop,object lost mid-trajectory
24,C,1,plier,fail,100,drop,object lost mid-trajectory
24,C,2,plier,fail,105,wrong_yolo,yolo locked onto non-target object
24,C,3,plier,fail,110,wrong_yolo,yolo locked onto non-target object
24,C,4,plier,fail,115,wrong_box,released into wrong rack slot
24,C,5,tape,pass,80,,
24,C,6,tape,pass,85,,
24,C,7,tape,pass,90,,
25,C,1,tape,pass,60,,
25,C,2,tape,pass,65,,
25,C,3,tape,pass,70,,
25,C,4,tape,fail,115,pickup_miss,grasp slipped before lift
25,C,5,tape,fail,120,drop,object lost mid-trajectory
25,C,6,tape,fail,125,drop,object lost mid-trajectory
26,C,1,tape,fail,130,wrong_yolo,yolo locked onto non-target object
26,C,2,tape,fail,100,wrong_box,released into wrong rack slot
26,C,3,tape,fail,105,wrong_yolo,yolo locked onto non-target object
26,C,4,tape,fail,110,launch_fail,dual-arm bringup errored out
26,C,5,pen,pass,75,,
26,C,6,pen,pass,80,,
26,C,7,pen,fail,125,pickup_miss,grasp slipped before lift
27,C,1,pen,fail,130,pickup_miss,grasp slipped before lift
27,C,2,pen,fail,100,pickup_miss,grasp slipped before lift
27,C,3,pen,fail,105,pickup_miss,grasp slipped before lift
27,C,4,pen,fail,110,pickup_miss,grasp slipped before lift
27,C,5,pen,fail,115,pickup_miss,grasp slipped before lift
27,C,6,pen,fail,120,drop,object lost mid-trajectory
28,C,1,pen,fail,125,drop,object lost mid-trajectory
28,C,2,pen,fail,130,drop,object lost mid-trajectory
28,C,3,pen,fail,100,drop,object lost mid-trajectory
28,C,4,pen,fail,105,wrong_yolo,yolo locked onto non-target object
28,C,5,pen,fail,110,wrong_yolo,yolo locked onto non-target object
28,C,6,pen,fail,115,wrong_box,released into wrong rack slot
28,C,7,pen,fail,120,launch_fail,dual-arm bringup errored out
29,C,1,scissor,pass,85,,
29,C,2,scissor,pass,90,,
29,C,3,scissor,pass,60,,
29,C,4,scissor,pass,65,,
29,C,5,scissor,pass,70,,
29,C,6,scissor,fail,115,pickup_miss,grasp slipped before lift
29,C,7,scissor,fail,120,drop,object lost mid-trajectory
30,C,1,scissor,fail,125,drop,object lost mid-trajectory
30,C,2,scissor,fail,130,wrong_yolo,yolo locked onto non-target object
30,C,3,scissor,fail,100,wrong_box,released into wrong rack slot
30,C,4,scissor,fail,105,wrong_box,released into wrong rack slot
30,C,5,scissor,fail,110,pickup_miss,grasp slipped before lift
